"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, MEX",2010,"m",0,0.016491,0.016247,0.09,1e+05,1625,98520,7265016,72.65
"LT VR/Census, MEX",2010,"m",1,0.000764,0.003049,1.6,98375,300,392783,7166496,72.85
"LT VR/Census, MEX",2010,"m",5,0.000299,0.001492,2.5,98075,146,490011,6773713,69.07
"LT VR/Census, MEX",2010,"m",10,0.000395,0.001974,2.5,97929,193,489162,6283702,64.17
"LT VR/Census, MEX",2010,"m",15,0.00111,0.005535,2.5,97736,541,487326,5794541,59.29
"LT VR/Census, MEX",2010,"m",20,0.001882,0.009366,2.5,97195,910,483698,5307215,54.6
"LT VR/Census, MEX",2010,"m",25,0.002478,0.012312,2.5,96284,1185,478459,4823517,50.1
"LT VR/Census, MEX",2010,"m",30,0.002989,0.014833,2.5,95099,1411,471968,4345058,45.69
"LT VR/Census, MEX",2010,"m",35,0.003492,0.01731,2.5,93688,1622,464387,3873090,41.34
"LT VR/Census, MEX",2010,"m",40,0.004316,0.021352,2.5,92067,1966,455419,3408702,37.02
"LT VR/Census, MEX",2010,"m",45,0.005935,0.029239,2.5,90101,2634,443918,2953284,32.78
"LT VR/Census, MEX",2010,"m",50,0.008167,0.040016,2.5,87466,3500,428582,2509366,28.69
"LT VR/Census, MEX",2010,"m",55,0.01134,0.055136,2.5,83966,4630,408257,2080784,24.78
"LT VR/Census, MEX",2010,"m",60,0.015623,0.075179,2.5,79337,5964,381772,1672527,21.08
"LT VR/Census, MEX",2010,"m",65,0.022941,0.108484,2.5,73372,7960,346962,1290755,17.59
"LT VR/Census, MEX",2010,"m",70,0.032601,0.150721,2.5,65412,9859,302415,943793,14.43
"LT VR/Census, MEX",2010,"m",75,0.051774,0.229204,2.5,55553,12733,245935,641378,11.55
"LT VR/Census, MEX",2010,"m",80,0.078491,0.328076,2.5,42820,14048,178981,395443,9.23
"LT VR/Census, MEX",2010,"m",85,0.13292,1,NA,28772,28772,216462,216462,7.52
"LT VR/Census, MEX",2019,"m",0,0.012994,0.01284,0.08,1e+05,1284,98819,7346263,73.46
"LT VR/Census, MEX",2019,"m",1,0.000609,0.002431,1.61,98716,240,394291,7247445,73.42
"LT VR/Census, MEX",2019,"m",5,0.000241,0.001205,2.5,98476,119,492083,6853153,69.59
"LT VR/Census, MEX",2019,"m",10,0.000303,0.001515,2.5,98357,149,491414,6361070,64.67
"LT VR/Census, MEX",2019,"m",15,0.001036,0.005166,2.5,98208,507,489773,5869657,59.77
"LT VR/Census, MEX",2019,"m",20,0.002056,0.010227,2.5,97701,999,486006,5379884,55.06
"LT VR/Census, MEX",2019,"m",25,0.002824,0.014023,2.5,96702,1356,480118,4893878,50.61
"LT VR/Census, MEX",2019,"m",30,0.002995,0.014865,2.5,95346,1417,473184,4413760,46.29
"LT VR/Census, MEX",2019,"m",35,0.003454,0.01712,2.5,93928,1608,465621,3940575,41.95
"LT VR/Census, MEX",2019,"m",40,0.004248,0.021016,2.5,92320,1940,456750,3474954,37.64
"LT VR/Census, MEX",2019,"m",45,0.00563,0.02776,2.5,90380,2509,445627,3018204,33.39
"LT VR/Census, MEX",2019,"m",50,0.007787,0.038189,2.5,87871,3356,430966,2572576,29.28
"LT VR/Census, MEX",2019,"m",55,0.011322,0.055052,2.5,84515,4653,410945,2141611,25.34
"LT VR/Census, MEX",2019,"m",60,0.016007,0.076955,2.5,79863,6146,383948,1730666,21.67
"LT VR/Census, MEX",2019,"m",65,0.021001,0.099769,2.5,73717,7355,350197,1346718,18.27
"LT VR/Census, MEX",2019,"m",70,0.030635,0.142278,2.5,66362,9442,308206,996521,15.02
"LT VR/Census, MEX",2019,"m",75,0.046774,0.209385,2.5,56920,11918,254806,688315,12.09
"LT VR/Census, MEX",2019,"m",80,0.074484,0.313958,2.5,45002,14129,189688,433509,9.63
"LT VR/Census, MEX",2019,"m",85,0.126623,1,NA,30873,30873,243821,243821,7.9
"LT VR/Census, MEX",2021,"m",0,0.011246,0.011131,0.08,1e+05,1113,98971,6907097,69.07
"LT VR/Census, MEX",2021,"m",1,0.000474,0.001894,1.62,98887,187,395102,6808126,68.85
"LT VR/Census, MEX",2021,"m",5,0.00018,0.000901,2.5,98700,89,493276,6413024,64.98
"LT VR/Census, MEX",2021,"m",10,0.000329,0.001644,2.5,98611,162,492648,5919748,60.03
"LT VR/Census, MEX",2021,"m",15,0.000965,0.004814,2.5,98449,474,491058,5427100,55.13
"LT VR/Census, MEX",2021,"m",20,0.001922,0.009562,2.5,97975,937,487531,4936042,50.38
"LT VR/Census, MEX",2021,"m",25,0.002985,0.014814,2.5,97038,1438,481595,4448511,45.84
"LT VR/Census, MEX",2021,"m",30,0.003582,0.017753,2.5,95600,1697,473758,3966916,41.49
"LT VR/Census, MEX",2021,"m",35,0.00448,0.022154,2.5,93903,2080,464314,3493157,37.2
"LT VR/Census, MEX",2021,"m",40,0.006002,0.029565,2.5,91823,2715,452327,3028843,32.99
"LT VR/Census, MEX",2021,"m",45,0.008562,0.041911,2.5,89108,3735,436204,2576516,28.91
"LT VR/Census, MEX",2021,"m",50,0.011685,0.056766,2.5,85373,4846,414752,2140312,25.07
"LT VR/Census, MEX",2021,"m",55,0.017668,0.084603,2.5,80527,6813,385604,1725561,21.43
"LT VR/Census, MEX",2021,"m",60,0.023194,0.109615,2.5,73714,8080,348371,1339957,18.18
"LT VR/Census, MEX",2021,"m",65,0.032664,0.15099,2.5,65634,9910,303395,991586,15.11
"LT VR/Census, MEX",2021,"m",70,0.046052,0.206489,2.5,55724,11506,249854,688190,12.35
"LT VR/Census, MEX",2021,"m",75,0.063731,0.274861,2.5,44218,12154,190704,438336,9.91
"LT VR/Census, MEX",2021,"m",80,0.097217,0.391045,2.5,32064,12538,128973,247632,7.72
"LT VR/Census, MEX",2021,"m",85,0.164551,1,NA,19525,19525,118659,118659,6.08
"LT VR/Census, MEX",2010,"f",0,0.013633,0.013466,0.09,1e+05,1347,98776,7818025,78.18
"LT VR/Census, MEX",2010,"f",1,0.000629,0.002513,1.5,98653,248,393994,7719249,78.25
"LT VR/Census, MEX",2010,"f",5,0.000254,0.001269,2.5,98406,125,491715,7325255,74.44
"LT VR/Census, MEX",2010,"f",10,0.000304,0.001521,2.5,98281,149,491030,6833539,69.53
"LT VR/Census, MEX",2010,"f",15,0.000507,0.002531,2.5,98131,248,490035,6342510,64.63
"LT VR/Census, MEX",2010,"f",20,0.000658,0.003284,2.5,97883,321,488611,5852474,59.79
"LT VR/Census, MEX",2010,"f",25,0.000785,0.003918,2.5,97561,382,486851,5363864,54.98
"LT VR/Census, MEX",2010,"f",30,0.000957,0.004774,2.5,97179,464,484736,4877013,50.19
"LT VR/Census, MEX",2010,"f",35,0.001254,0.00625,2.5,96715,604,482065,4392276,45.41
"LT VR/Census, MEX",2010,"f",40,0.001788,0.008902,2.5,96111,856,478415,3910211,40.68
"LT VR/Census, MEX",2010,"f",45,0.002955,0.014666,2.5,95255,1397,472784,3431797,36.03
"LT VR/Census, MEX",2010,"f",50,0.004469,0.022097,2.5,93858,2074,464106,2959013,31.53
"LT VR/Census, MEX",2010,"f",55,0.007272,0.03571,2.5,91784,3278,450727,2494907,27.18
"LT VR/Census, MEX",2010,"f",60,0.010854,0.052837,2.5,88507,4676,430842,2044180,23.1
"LT VR/Census, MEX",2010,"f",65,0.017619,0.084378,2.5,83830,7073,401467,1613338,19.25
"LT VR/Census, MEX",2010,"f",70,0.024516,0.1155,2.5,76757,8865,361620,1211871,15.79
"LT VR/Census, MEX",2010,"f",75,0.04331,0.195395,2.5,67891,13266,306293,850250,12.52
"LT VR/Census, MEX",2010,"f",80,0.067622,0.289215,2.5,54626,15799,233632,543958,9.96
"LT VR/Census, MEX",2010,"f",85,0.125118,1,NA,38827,38827,310326,310326,7.99
"LT VR/Census, MEX",2019,"f",0,0.011158,0.011045,0.08,1e+05,1105,98989,7910972,79.11
"LT VR/Census, MEX",2019,"f",1,0.000494,0.001974,1.51,98895,195,395095,7811983,78.99
"LT VR/Census, MEX",2019,"f",5,0.000233,0.001163,2.5,98700,115,493214,7416888,75.15
"LT VR/Census, MEX",2019,"f",10,0.000235,0.001176,2.5,98585,116,492637,6923674,70.23
"LT VR/Census, MEX",2019,"f",15,0.000396,0.00198,2.5,98470,195,491860,6431037,65.31
"LT VR/Census, MEX",2019,"f",20,0.000571,0.002849,2.5,98275,280,490673,5939176,60.43
"LT VR/Census, MEX",2019,"f",25,0.000719,0.003588,2.5,97995,352,489094,5448503,55.6
"LT VR/Census, MEX",2019,"f",30,0.000976,0.004871,2.5,97643,476,487026,4959410,50.79
"LT VR/Census, MEX",2019,"f",35,0.001274,0.006352,2.5,97167,617,484294,4472384,46.03
"LT VR/Census, MEX",2019,"f",40,0.001882,0.009367,2.5,96550,904,480490,3988090,41.31
"LT VR/Census, MEX",2019,"f",45,0.003019,0.014982,2.5,95646,1433,474647,3507600,36.67
"LT VR/Census, MEX",2019,"f",50,0.004239,0.020973,2.5,94213,1976,466124,3032953,32.19
"LT VR/Census, MEX",2019,"f",55,0.007159,0.035166,2.5,92237,3244,453075,2566828,27.83
"LT VR/Census, MEX",2019,"f",60,0.010699,0.052103,2.5,88993,4637,433374,2113753,23.75
"LT VR/Census, MEX",2019,"f",65,0.015558,0.074879,2.5,84356,6317,405991,1680379,19.92
"LT VR/Census, MEX",2019,"f",70,0.02393,0.112897,2.5,78040,8810,368173,1274388,16.33
"LT VR/Census, MEX",2019,"f",75,0.037864,0.172948,2.5,69229,11973,316215,906214,13.09
"LT VR/Census, MEX",2019,"f",80,0.061959,0.268246,2.5,57256,15359,247885,590000,10.3
"LT VR/Census, MEX",2019,"f",85,0.122466,1,NA,41898,41898,342115,342115,8.17
"LT VR/Census, MEX",2021,"f",0,0.009918,0.009828,0.08,1e+05,983,99097,7532090,75.32
"LT VR/Census, MEX",2021,"f",1,0.000425,0.001697,1.51,99017,168,395650,7432993,75.07
"LT VR/Census, MEX",2021,"f",5,0.000173,0.000866,2.5,98849,86,494032,7037344,71.19
"LT VR/Census, MEX",2021,"f",10,0.000258,0.001287,2.5,98764,127,493500,6543312,66.25
"LT VR/Census, MEX",2021,"f",15,0.000428,0.002137,2.5,98637,211,492656,6049812,61.33
"LT VR/Census, MEX",2021,"f",20,0.000621,0.003101,2.5,98426,305,491366,5557156,56.46
"LT VR/Census, MEX",2021,"f",25,0.001008,0.005026,2.5,98121,493,489370,5065790,51.63
"LT VR/Census, MEX",2021,"f",30,0.001337,0.00666,2.5,97627,650,486512,4576420,46.88
"LT VR/Census, MEX",2021,"f",35,0.00209,0.010393,2.5,96977,1008,482366,4089909,42.17
"LT VR/Census, MEX",2021,"f",40,0.002868,0.014238,2.5,95969,1366,476430,3607542,37.59
"LT VR/Census, MEX",2021,"f",45,0.004669,0.023075,2.5,94603,2183,467557,3131112,33.1
"LT VR/Census, MEX",2021,"f",50,0.006226,0.030654,2.5,92420,2833,455017,2663555,28.82
"LT VR/Census, MEX",2021,"f",55,0.011501,0.055896,2.5,89587,5008,435416,2208538,24.65
"LT VR/Census, MEX",2021,"f",60,0.015987,0.076864,2.5,84579,6501,406644,1773122,20.96
"LT VR/Census, MEX",2021,"f",65,0.022988,0.108694,2.5,78078,8487,369174,1366478,17.5
"LT VR/Census, MEX",2021,"f",70,0.034147,0.157305,2.5,69592,10947,320590,997304,14.33
"LT VR/Census, MEX",2021,"f",75,0.048136,0.214826,2.5,58644,12598,261726,676714,11.54
"LT VR/Census, MEX",2021,"f",80,0.076689,0.321757,2.5,46046,14816,193191,414987,9.01
"LT VR/Census, MEX",2021,"f",85,0.140807,1,NA,31230,31230,221796,221796,7.1
